Start Time,End Time,Status
13:07:50,13:07:56,Focused
13:07:59,13:08:05,Not Focused
13:08:18,13:08:24,No Eyes Detected
13:08:41,13:08:48,Focused
13:22:01,13:22:08,No Eyes Detected
19:36:54,19:37:00,No Eyes Detected
10:08:43,10:08:50,Focused
10:09:03,10:09:10,Not Focused
10:09:13,10:09:19,No Eyes Detected
10:10:00,10:10:07,Focused
10:10:23,10:10:30,Not Focused
10:10:56,10:18:12,Focused
10:18:19,10:18:26,Not Focused
10:18:37,10:18:43,Focused
10:19:14,10:19:21,Focused
10:19:23,10:19:30,Not Focused
10:19:43,10:19:50,No Eyes Detected
11:24:42,11:24:48,Focused
11:24:58,11:25:04,Not Focused
11:25:26,11:25:32,Not Focused
11:25:54,11:26:00,Not Focused
11:26:51,11:26:57,Focused
11:27:05,11:27:11,No Eyes Detected
11:27:19,11:27:25,Not Focused
11:27:59,11:28:05,Focused
