Start Time,End Time,Focused
12:20:20,12:20:21,No Eyes Detected
12:20:21,12:20:28,Focused
12:20:28,12:20:28,Not Focused
12:20:28,12:20:43,Focused
12:20:43,12:20:59,Not Focused
12:20:59,12:21:00,Focused
12:21:00,12:21:01,Not Focused
12:21:01,12:21:01,Focused
12:21:01,12:21:01,Not Focused
12:21:01,12:21:02,Focused
12:21:02,12:21:02,Not Focused
12:21:02,12:21:02,Focused
12:21:02,12:21:02,Not Focused
12:21:02,12:21:03,Focused
12:21:03,12:21:03,Not Focused
12:21:03,12:21:08,Focused
12:21:08,12:21:08,Not Focused
12:21:08,12:21:09,Focused
12:21:09,12:21:09,Not Focused
12:21:09,12:21:09,Focused
12:21:09,12:21:09,Not Focused
12:21:09,12:21:09,Focused
12:21:09,12:21:09,Not Focused
12:21:09,12:21:10,Focused
12:21:10,12:21:10,Not Focused
12:21:10,12:21:10,Focused
12:21:10,12:21:30,Not Focused
12:21:30,12:21:30,Focused
12:21:30,12:21:31,Not Focused
12:21:31,12:21:32,Focused
12:21:32,12:21:32,Not Focused
12:21:32,12:21:33,Focused
12:21:33,12:21:41,Not Focused
12:21:41,12:21:41,Focused
12:21:41,12:21:41,Not Focused
12:21:41,12:21:44,No Eyes Detected
12:21:44,12:21:44,Focused
12:21:44,12:21:44,Not Focused
12:21:44,12:21:45,Focused
12:21:45,12:21:45,Not Focused
12:21:45,12:21:45,Focused
12:21:45,12:21:54,Not Focused
12:21:54,12:21:55,Focused
12:21:55,12:21:55,Not Focused
12:21:55,12:21:55,Focused
12:21:55,12:21:56,Not Focused
12:21:56,12:21:56,Focused
12:21:56,12:21:56,Not Focused
12:21:56,12:21:56,Focused
12:21:56,12:21:56,Not Focused
12:21:56,12:21:57,No Eyes Detected
12:21:57,12:21:57,Not Focused
12:21:57,12:21:57,No Eyes Detected
12:21:57,12:21:58,Not Focused
12:21:58,12:21:58,No Eyes Detected
12:21:58,12:21:58,Not Focused
12:21:58,12:21:58,No Eyes Detected
12:21:58,12:21:59,Not Focused
12:21:59,12:21:59,No Eyes Detected
12:21:59,12:22:01,Not Focused
12:22:01,12:22:01,No Eyes Detected
12:22:01,12:22:01,Not Focused
12:22:01,12:22:02,No Eyes Detected
12:22:02,12:22:02,Not Focused
12:22:02,12:22:02,No Eyes Detected
12:22:02,12:22:02,Not Focused
12:22:02,12:22:03,No Eyes Detected
12:22:03,12:22:04,Not Focused
12:22:04,12:22:04,No Eyes Detected
12:22:04,12:22:04,Not Focused
12:22:04,12:22:05,No Eyes Detected
12:22:05,12:22:05,Not Focused
12:22:05,12:22:05,Focused
12:22:05,12:22:05,Not Focused
12:22:05,12:22:06,No Eyes Detected
12:22:06,12:22:06,Not Focused
12:22:06,12:22:07,No Eyes Detected
12:22:07,12:22:07,Not Focused
12:22:07,12:22:07,No Eyes Detected
12:22:07,12:22:07,Not Focused
12:22:07,12:22:07,No Eyes Detected
12:22:07,12:22:07,Not Focused
12:22:07,12:22:08,No Eyes Detected
12:22:08,12:22:11,Not Focused
12:22:11,12:22:11,No Eyes Detected
12:22:11,12:22:14,Not Focused
12:22:14,12:22:15,Focused
12:22:15,12:22:15,Not Focused
12:22:15,12:22:15,No Eyes Detected
12:22:15,12:22:16,Not Focused
12:22:16,12:22:16,No Eyes Detected
12:22:16,12:22:16,Focused
12:22:16,12:22:16,No Eyes Detected
12:22:16,12:22:17,Not Focused
12:22:17,12:22:17,No Eyes Detected
12:22:17,12:22:17,Not Focused
12:22:17,12:22:17,No Eyes Detected
12:22:17,12:22:17,Not Focused
12:22:17,12:22:18,Focused
12:22:18,12:22:18,No Eyes Detected
